Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),carrier
AA,01/01/2023,0329,N979AN,CLE,19:15:00,19:11:00,-4,0,0,0,0,0,AA
AA,01/01/2023,0336,N938NN,CLT,16:40:00,16:34:00,-6,0,0,0,0,0,AA
AA,01/01/2023,0349,N938NN,LGA,09:30:00,09:30:00,0,0,0,0,0,0,AA
AA,01/01/2023,0356,N921NN,BNA,19:31:00,19:19:00,-12,0,0,0,0,0,AA
AA,01/01/2023,0357,N887NN,LGA,20:30:00,20:43:00,13,0,0,0,0,0,AA
AA,01/01/2023,0358,N939NN,LGA,19:31:00,19:30:00,-1,0,0,0,0,0,AA
AA,01/01/2023,0359,N980AN,LGA,15:30:00,15:23:00,-7,0,0,0,0,0,AA
AA,01/01/2023,0363,N775XF,DCA,17:00:00,18:02:00,62,62,0,2,0,0,AA
AA,01/01/2023,0370,N968AN,LGA,07:30:00,07:29:00,-1,0,0,0,0,0,AA
AA,01/01/2023,0374,N580UW,LAX,19:00:00,19:09:00,9,9,0,9,0,0,AA
AA,01/01/2023,0398,N580UW,PHX,09:25:00,09:30:00,5,0,0,0,0,0,AA
AA,01/01/2023,0414,N886NN,IAH,19:40:00,19:42:00,2,0,0,0,0,0,AA
AA,01/01/2023,0423,N957AN,FLL,17:10:00,17:15:00,5,0,0,0,0,0,AA
AA,01/01/2023,0477,N709UW,GRB,19:30:00,19:20:00,-10,0,0,0,0,0,AA
AA,01/01/2023,0490,N801AW,PHL,14:55:00,15:19:00,24,0,0,0,0,0,AA
AA,01/01/2023,0523,N831AW,DCA,06:17:00,06:09:00,-8,0,0,0,0,0,AA
AA,01/01/2023,0527,N709UW,LGA,10:30:00,10:28:00,-2,0,0,0,0,0,AA
AA,01/01/2023,0552,N952AA,EWR,18:40:00,18:34:00,-6,0,0,0,0,0,AA
AA,01/01/2023,0555,N932AM,LAX,15:12:00,18:53:00,221,5,0,4,0,216,AA
AA,01/01/2023,0562,N748UW,LGA,17:30:00,17:32:00,2,0,0,0,0,0,AA
